#name,region,country,latitude,longitude,location_type,conflict_period,population
Town_1,Toungoo,Myanmar,18.9436415,96.4302635,town,,
Town_2,Toungoo,Myanmar,18.9829274,96.4533819,town,,
Town_3,Toungoo,Myanmar,19.00348,96.40296,town,,
Town_4,Toungoo,Myanmar,19.0320125,96.4806221,town,,
Town_5,Toungoo,Myanmar,19.0670846,96.4132803,town,,
Town_6,Toungoo,Myanmar,19.0454548,96.3680122,town,,
Town_7,Toungoo,Myanmar,18.946402,96.4931088,town,,
Town_8,Toungoo,Myanmar,18.9250259,96.4504972,town,,
Town_9,Toungoo,Myanmar,18.9680951,96.422722,town,,
Town_10,Toungoo,Myanmar,18.9505614,96.3938829,town,,
Town_11,Toungoo,Myanmar,18.916556,96.5104738,town,,
Town_12,Toungoo,Myanmar,18.91575,96.32385,town,,
Flood_Zone_1,Toungoo,Myanmar,18.9490161,96.4520608,flood_zone,,313
Flood_Zone_2,Toungoo,Myanmar,18.9592898,96.4488261,flood_zone,,313
Flood_Zone_3,Toungoo,Myanmar,18.9844455,96.4420314,flood_zone,,313
Flood_Zone_4,Toungoo,Myanmar,18.9927189,96.4319719,flood_zone,,313
Flood_Zone_5,Toungoo,Myanmar,19.0002237,96.4490427,flood_zone,,313
Flood_Zone_6,Toungoo,Myanmar,19.0103557,96.447359,flood_zone,,313
Flood_Zone_7,Toungoo,Myanmar,19.0142409,96.4596426,flood_zone,,313
Flood_Zone_8,Toungoo,Myanmar,19.0298826,96.4464353,flood_zone,,313
Flood_Zone_9,Toungoo,Myanmar,19.0277526,96.4294254,flood_zone,,312
Flood_Zone_10,Toungoo,Myanmar,19.0421847,96.4264724,flood_zone,,312
Flood_Zone_11,Toungoo,Myanmar,19.0457546,96.439626,flood_zone,,312
Flood_Zone_12,Toungoo,Myanmar,19.059012,96.4399068,flood_zone,,312
Flood_Zone_13,Toungoo,Myanmar,19.0772102,96.4271313,flood_zone,,312
Flood_Zone_14,Toungoo,Myanmar,19.0820582,96.4391929,flood_zone,,312
Flood_Zone_15,Toungoo,Myanmar,18.9260734,96.4678406,flood_zone,,312
Flood_Zone_16,Toungoo,Myanmar,18.9355908,96.456706,flood_zone,,312
Camp_1,Toungoo,Myanmar,18.9309438,96.4200541,camp,,2437
Camp_2,Toungoo,Myanmar,18.9175675,96.4427241,camp,,2437
Camp_3, Toungoo,Myanmar,18.91878,96.51243,camp,,2437
Camp_4,Toungoo,Myanmar,18.95295,96.3649285,camp,,2437
Camp_5,Toungoo,Myanmar,18.91185,96.27597,camp,,2437
Camp_6,Toungoo,Myanmar,18.94461,96.5028,camp,,2437
Camp_7,Toungoo,Myanmar,18.90049,96.5083,camp,,2437
Camp_8,Toungoo,Myanmar,18.92296,96.42709,camp,,2437
Temple_1,Toungoo,Myanmar,18.9446919,96.4081313,camp,,50
Temple_2,Toungoo,Myanmar,18.96381,96.49263,camp,,50
Temple_3,Toungoo,Myanmar,18.92966,96.50713,camp,,50
Temple_4,Toungoo,Myanmar,19.00311,96.27488,camp,,50
Temple_5,Toungoo,Myanmar,18.94629,96.30505,camp,,50
Temple_6,Toungoo,Myanmar,18.98068,96.3639,camp,,50