WKT,name,description
"POINT (96.4302635 18.9436415)",Town_1,
"POINT (96.4533819 18.9829274)",Town_2,
"POINT (96.4806221 19.0320125)",Town_4,
"POINT (96.4806221 19.0320125)",Town_4,
"POINT (96.4132803 19.0670846)",Town_5,
"POINT (96.3680122 19.0454548)",Town_6,
"POINT (96.4931088 18.946402)",Town_7,
"POINT (96.4520608 18.9490161)",Flood_Zone_1,
"POINT (96.4488261 18.9592898)",Flood_Zone_2,
"POINT (96.4420314 18.9844455)",Flood_Zone_3,
"POINT (96.4319719 18.9927189)",Flood_Zone_4,
"POINT (96.4490427 19.0002237)",Flood_Zone_5,
"POINT (96.447359 19.0103557)",Flood_Zone_6,
"POINT (96.4596426 19.0142409)",Flood_Zone_7,
"POINT (96.4464353 19.0298826)",Flood_Zone_8,
"POINT (96.4294254 19.0277526)",Flood_Zone_9,
"POINT (96.4264724 19.0421847)",Flood_Zone_10,
"POINT (96.439626 19.0457546)",Flood_Zone_11,
"POINT (96.4399068 19.059012)",Flood_Zone_12,
"POINT (96.4271313 19.0772102)",Flood_Zone_13,
"POINT (96.4391929 19.0820582)",Flood_Zone_14,
"POINT (96.4678406 18.9260734)",Flood_Zone_15,
"POINT (96.456706 18.9355908)",Flood_Zone_16,
"POINT (96.4097419 19.010322)",Temple_1,
"POINT (96.4504972 18.9250259)",Town_8,
"POINT (96.4200541 18.9309438)",Camp_1,
"POINT (96.4427241 18.9175675)",Camp_2,
"POINT (96.4081313 18.9446919)",Temple_1,
"POINT (96.3649285 18.95295)",Camp_4,
"POINT (96.422722 18.9680951)",Town_9,
"POINT (96.3938829 18.9505614)",Town_10,
"POINT (96.5104738 18.916556)",Town_11,